amie,nombre_ie,tipo,sostenimiento,provincia,canton,parroquia,lat,lon
17H04604,UNIDAD EDUCATIVA “LUCÍA POLANCO DE GUAYASAMÍN”,MATRIZ,PARTICULAR,PICHINCHA,MEJÍA,CUTUGLAHUA,-0.375574883,-78.53567471
17H04603,CENTRO DE EDUCACIÓN INICIAL “ESTRELLITAS DE AMOR”,MATRIZ,PARTICULAR,PICHINCHA,RUMIÑAHUI,SANGOLQUÍ,-0.331984133,-78.44450344
17H04602,CENTRO DE EDUCACIÓN INICIAL “BABY´S PLANET”,MATRIZ,PARTICULAR,PICHINCHA,RUMIÑAHUI,SANGOLQUÍ,-0.327974316,-78.45684914
17H04601,UNIDAD EDUCATIVA “MILITAR COMANDANTE RUMIÑAHUI”,MATRIZ,PARTICULAR,PICHINCHA,MEJÍA,MACHACHI,-0.51013089,-78.56748719
17H04600,UNIDAD EDUCATIVA “CEREVEC SCHOOL”,MATRIZ,PARTICULAR,PICHINCHA,RUMIÑAHUI,SANGOLQUÍ,-0.329899106,-78.45538524
17H04599,UNIDAD EDUCATIVA PARTICULAR “NIKOLA TESLA”,MATRIZ,PARTICULAR,PICHINCHA,DISTRITO METROPOLITANO DE QUITO,CALDERÓN,-0.091032765,-78.43689385
17H04584,CENTRO DE EDUCACIÓN INICIAL PARTICULAR “KIDS CLUB KINDER GARDEN”,MATRIZ,PARTICULAR,PICHINCHA,DISTRITO METROPOLITANO DE QUITO,IÑAQUITO,-0.170430594,-78.48410955
17H04574,UNIDAD EDUCATIVA PARTICULAR “23 DE ABRIL”,MATRIZ,PARTICULAR,PICHINCHA,DISTRITO METROPOLITANO DE QUITO,SAN ISIDRO DEL INCA,-0.144289407,-78.46846403
17H04569,"UNIDAD EDUCATIVA PARTICULAR “PCEI PADRE JUAN BOTASSO""",MATRIZ,PARTICULAR,PICHINCHA,DISTRITO METROPOLITANO DE QUITO,RUMIPAMBA,-0.179334469,-78.49076114
17H04557,UNIDAD EDUCATIVA PARTICULAR “PCEI MARIE CURIE”,MATRIZ,PARTICULAR,PICHINCHA,DISTRITO METROPOLITANO DE QUITO,RUMIPAMBA,-0.179641724,-78.4903481
17H04553,"UNIDAD EDUCATIVA PARTICULAR BILINGÜE “ACADEMIA MILITAR GENERAL MIGUEL ITURRALDE""",MATRIZ,PARTICULAR,PICHINCHA,DISTRITO METROPOLITANO DE QUITO,QUITUMBE,-0.280290287,-78.55157209
17H03316,"UNIDAD EDUCATIVA ""ALBERTO EINSTEIN """,ESTABLECIMIENTO,PARTICULAR,PICHINCHA,DISTRITO METROPOLITANO DE QUITO,PIFO,-0.214678504,-78.34997748
13H05479,UNIDAD EDUCATIVA PARTICULAR EMMA WILLARD,MATRIZ,PARTICULAR,MANABÍ,MANTA,LOS ESTEROS,-0.979484265,-80.69311289
13H05478,UNIDAD EDUCATIVA PARTICULAR CIUDAD DE SAMARIA,MATRIZ,PARTICULAR,MANABÍ,MANTA,LOS ESTEROS,-0.9713854,-80.69277406
13H05477,UNIDAD EDUCATIVA PARTICULAR EMMI PIKLER,MATRIZ,PARTICULAR,MANABÍ,MANTA,MANTA,-0.966966217,-80.75674765
13H05475,UNIDAD EDUCATIVA PARTICULAR “LUZ DEL PACÍFICO”,MATRIZ,PARTICULAR,MANABÍ,JARAMIJÓ,JARAMIJÓ,-0.955384724,-80.63863457
13H05474, UNIDAD EDUCATIVA PARTICULAR “EBENEZER”,MATRIZ,PARTICULAR,MANABÍ,CHONE,CHONE,-0.69701084,-80.11169344
13H05473,UNIDAD EDUCATIVA “ROSATHÉ GILER DE LOOR”,MATRIZ,PARTICULAR,MANABÍ,PORTOVIEJO,ANDRÉS DE VERA,-1.064646997,-80.442737
11H00729,ESCUELA DE EDUCACIÓN BÁSICA VILCABAMBA,MATRIZ,FISCAL,LOJA,CELICA,CRUZPAMBA,-4.15275653,-79.98992246
10H00817,CENTRO DE EDUCACIÓN INICIAL JIM ELLIOT,MATRIZ,PARTICULAR,IMBABURA,ANTONIO ANTE,ATUNTAQUI,0.333834002,-78.213743
09H06806,UNIDAD EDUCATIVA ERNST HAECKEL,MATRIZ,PARTICULAR,GUAYAS,GUAYAQUIL,TARQUI,-2.174544113,-79.90727933
09H06805,UNIDAD EDUCATIVA WILLIAM TYNDALE,MATRIZ,PARTICULAR,GUAYAS,GUAYAQUIL,TARQUI,-2.13397186,-79.90936294
09H06803,UNIDAD EDUCATIVA EDWIN GORDON,MATRIZ,PARTICULAR,GUAYAS,GUAYAQUIL,PASCUALES,-2.065307181,-79.89759066
09H06802,UNIDAD EDUCATIVA ANNE SULLIVAN,MATRIZ,PARTICULAR,GUAYAS,GUAYAQUIL,PASCUALES,-2.094991767,-79.9064712
09H06798,UNIDAD EDUCATIVA PCEI “MIGUEL DE SALCEDO”,MATRIZ,PARTICULAR,GUAYAS,MILAGRO,CHIRIJOS,-2.117406376,-79.58499349
09H06796,UNIDAD EDUCATIVA INTEROCEÁNICO,MATRIZ,PARTICULAR,GUAYAS,DAULE,DAULE,-2.015914463,-79.91818588
09H06793,UNIDAD EDUCATIVA PROF. MARIO NAVAS JIMENEZ,MATRIZ,PARTICULAR,GUAYAS,DAULE,DAULE,-1.865005637,-79.97623102
09H06789,UNIDAD EDUCATIVA PARTICULAR DR. LUIS ALFONSO SALTOS ESPINOZA,MATRIZ,PARTICULAR,GUAYAS,GUAYAQUIL,TARQUI,-2.185914184,-79.88977235
09H06787,Unidad Educativa Particular “Latinoamericana”,MATRIZ,PARTICULAR,GUAYAS,GUAYAQUIL,XIMENA,-2.226588989,-79.89542833
09H06786,UNIDAD EDUCATIVA ALAN TURING,MATRIZ,PARTICULAR,GUAYAS,GUAYAQUIL,TARQUI,-2.115394603,-79.90099034
09H06779,"UNIDAD EDUCATIVA PARTICULAR ""PROVINCIA DE GALÁPAGOS""",MATRIZ,PARTICULAR,GUAYAS,GUAYAQUIL,XIMENA,-2.274664361,-79.87790102
09H06776,UNIDAD EDUCATIVA SANTANDER,MATRIZ,PARTICULAR,GUAYAS,GUAYAQUIL,TARQUI,-2.146667614,-79.90467261
07H01559,UNIDAD EDUCATIVA PARTICULAR ALEMAN GUTENBERG EL ORO,MATRIZ,PARTICULAR,EL ORO,MACHALA,EL CAMBIO,-3.305806015,-79.8884687
02H00932,UNIDAD EDUCATIVA PCEI CBO. WLADIMIR ENRIQUE ANALUISA MONTERO,MATRIZ,PARTICULAR,BOLÍVAR,GUARANDA,GUARANDA,-1.588041513,-78.97610497
01H02074,UNIDAD EDUCATIVA WALDORF,MATRIZ,PARTICULAR,AZUAY,CUENCA,SAN JOAQUÍN,-2.892148082,-79.05297091
17H04593,CENTRO DE EDUCACIÓN INICIAL PARTICULAR “EUROAMERICANO”,MATRIZ,PARTICULAR,PICHINCHA,DISTRITO METROPOLITANO DE QUITO,ITCHIMBIA,-0.211205138,-78.49467986
17H04592, UNIDAD EDUCATIVA PARTICULAR “MAMA LUNA”,MATRIZ,PARTICULAR,PICHINCHA,DISTRITO METROPOLITANO DE QUITO,GUAMANÍ,-0.338304542,-78.55936125
03H00690,UNIDAD EDUCATIVA NUEVO AMANECER,MATRIZ,FISCAL,CAÑAR,CAÑAR,VENTURA,-2.308260605,-79.10320416
09H06801,UNIDAD EDUCATIVA “SAN JUAN 3:16”,MATRIZ,PARTICULAR,GUAYAS,GUAYAQUIL,XIMENA,-2.257977428,-79.87543928
09H06799,UNIDAD EDUCATIVA PRESCO DELTATORREMAR,MATRIZ,PARTICULAR,GUAYAS,DAULE,DAULE,-2.04977646,-79.87237327
09H06797,CENTRO DE EDUCACIÓN INICIAL KINDERLAND,MATRIZ,PARTICULAR,GUAYAS,BALZAR,BALZAR,-1.365853482,-79.9027365
09H06800,UNIDAD EDUCATIVA ESPECIALIZADA HELEN KELLER,MATRIZ,PARTICULAR,GUAYAS,GUAYAQUIL,TARQUI,-2.169825867,-79.9070208
17H04591,CENTRO DE EDUCACIÓN INICIAL PARTICULAR “SMART EARTH KIDS”,MATRIZ,PARTICULAR,PICHINCHA,DISTRITO METROPOLITANO DE QUITO,ALANGASÍ,-0.297930402,-78.45482736
17H04595,CENTRO DE EDUCACIÓN INICIAL PARTICULAR “EL VALLE DEL SABER”,MATRIZ,PARTICULAR,PICHINCHA,DISTRITO METROPOLITANO DE QUITO,CHILIBULO,-0.237242531,-78.52894558
17H04587,UNIDAD EDUCATIVA PARTICULAR “ACADEMIA AERONÁUTICA MAYOR PEDRO TRAVERSARI”,MATRIZ,PARTICULAR,PICHINCHA,DISTRITO METROPOLITANO DE QUITO,CHILLOGALLO,-0.280996338,-78.55635754
17H04590,CENTRO DE EDUCACIÓN INICIAL PARTICULAR “LA CASITA SOBRE LA ROCA”,MATRIZ,PARTICULAR,PICHINCHA,DISTRITO METROPOLITANO DE QUITO,CONOCOTO,-0.26411433,-78.48087989
17H04596,UNIDAD EDUCATIVA PARTICULAR “PCEI INNOVACIÓN ANDINA”,MATRIZ,PARTICULAR,PICHINCHA,DISTRITO METROPOLITANO DE QUITO,CONOCOTO,-0.311853773,-78.47274421
17H04597,UNIDAD EDUCATIVA PARTICULAR “PCEI INNOVACIÓN ANDINA”,ESTABLECIMIENTO,PARTICULAR,PICHINCHA,DISTRITO METROPOLITANO DE QUITO,CONOCOTO,-0.311853773,-78.47274421
17H04594,CENTRO DE EDUCACIÓN INICIAL PARTICULAR “FAMILY IKIDS”,MATRIZ,PARTICULAR,PICHINCHA,DISTRITO METROPOLITANO DE QUITO,IÑAQUITO,-0.190587514,-78.49084934
04H00217,UNIDAD EDUCATIVA “EL ÁNGEL”,ESTABLECIMIENTO,FISCAL,CARCHI,ESPEJO,EL ÁNGEL,0.62124403,-77.94074403
08H02247,"UNIDAD EDUCATIVA ""CARLOS ANDRADE MARIN""",ESTABLECIMIENTO,FISCAL,ESMERALDAS,QUININDÉ,LA UNIÓN,0.039946395,-79.40490663
08H01271,"UNIDAD EDUCATIVA FISCOMISIONAL ""PIERRE TEILHARD DE CHARDIN""",ESTABLECIMIENTO,FISCOMISIONAL,ESMERALDAS,ATACAMES,ATACAMES,0.871638464,-79.84563413
08H01271,"UNIDAD EDUCATIVA FISCOMISIONAL ""PIERRE TEILHARD DE CHARDIN""",ESTABLECIMIENTO,FISCOMISIONAL,ESMERALDAS,ATACAMES,ATACAMES,0.869721609,-79.84816875
17H01013,"UNIDAD EDUCATIVA PARTICULAR ""LICEO INTERNACIONAL""",ESTABLECIMIENTO,PARTICULAR,PICHINCHA,DISTRITO METROPOLITANO DE QUITO,JIPIJAPA,-0.154908547,-78.46010437
23H00847,UNIDAD EDUCATIVA PARTICULAR PCEI LICEO ECUADOR,MATRIZ,PARTICULAR,SANTO DOMINGO DE LOS TSÁCHILAS,SANTO DOMINGO,SANTO DOMINGO DE LOS COLORADOS,-0.252000867,-79.16860855
17H04589,UNIDAD EDUCATIVA FISCOMISIONAL “JOSÉ MARÍA VÉLAZ S.J.” – IRFEYAL MATRIZ,MATRIZ,FISCOMISIONAL,PICHINCHA,DISTRITO METROPOLITANO DE QUITO,RUMIPAMBA,-0.184487199,-78.49596774
01H02072,CENTRO DE EDUCACIÓN INICIAL LA LUZ,MATRIZ,MUNICIPAL,AZUAY,CUENCA,EL VECINO,-2.880413175,-78.99179936
01H02073,CENTRO DE EDUCACIÓN INICIAL MI CASITA MÁGICA,MATRIZ,PARTICULAR,AZUAY,CUENCA,SUCRE,-2.90106818,-79.0173096
23H00453,UNIDAD EDUCATIVA MARTÍNEZ MERA,MATRIZ,FISCAL,SANTO DOMINGO DE LOS TSÁCHILAS,SANTO DOMINGO,ALLURIQUÍN,-0.319867846,-78.95385921
13H05476,CENTRO DE EDUCACIÓN INICIAL LEV VIGOTSKY,MATRIZ,PARTICULAR,MANABÍ,PORTOVIEJO,18 DE OCTUBRE,-1.049776245,-80.46545263
12H02625,UNIDAD EDUCATIVA “KRAAKER”,MATRIZ,PARTICULAR,LOS RÍOS,BABAHOYO,CLEMENTE BAQUERIZO,-1.802415236,-79.51541968
12H02626,CENTRO DE EDUCACIÓN INICIAL HAPPY KIDS,MATRIZ,PARTICULAR,LOS RÍOS,QUEVEDO,QUEVEDO,-1.031717866,-79.46781337
17H04583,CENTRO DE EDUCACIÓN INICIAL PARTICULAR “ECOPIKERITOS”,MATRIZ,PARTICULAR,PICHINCHA,DISTRITO METROPOLITANO DE QUITO,KENNEDY,-0.152642592,-78.48268423
17H04588,CENTRO DE EDUCACIÓN INICIAL PARTICULAR “JOHN BOWLBY”,MATRIZ,PARTICULAR,PICHINCHA,DISTRITO METROPOLITANO DE QUITO,LA CONCEPCIÓN,-0.14002629,-78.49637723
01H02071,CENTRO DE EDUCACIÓN INICIAL CINCO SENTIDOS,MATRIZ,PARTICULAR,AZUAY,CUENCA,VALLE,-2.935383797,-78.9686066
09H06792,UNIDAD EDUCATIVA MATOVELLE,MATRIZ,PARTICULAR,GUAYAS,SIMÓN BOLÍVAR,SIMÓN BOLÍVAR,-2.001430011,-79.48373376
07H01558,UNIDAD EDUCATIVA PARTICULAR ADLER ALFRED,MATRIZ,PARTICULAR,EL ORO,MACHALA,LA PROVIDENCIA,-3.264643454,-79.94131433
17H04586,UNIDAD EDUCATIVA PARTICULAR “DISCOVERY INTERNATIONAL SCHOOL”,MATRIZ,PARTICULAR,PICHINCHA,DISTRITO METROPOLITANO DE QUITO,TUMBACO,-0.222160519,-78.39431505
09H06794,UNIDAD EDUCATIVA PADRE JUAN PALOMINO MUÑOZ,MATRIZ,PARTICULAR,GUAYAS,NARANJAL,NARANJAL,-2.681060667,-79.63089483
09H06791,COLEGIO DE BACHILLERATO EDUNEMI,MATRIZ,PARTICULAR,GUAYAS,MILAGRO,CORONEL ENRIQUE VALDEZ,-2.1508439,-79.60387918
09H06795,UNIDAD EDUCATIVA MERCEDES CALDERÓN,MATRIZ,PARTICULAR,GUAYAS,GUAYAQUIL,AYACUCHO,-2.209123961,-79.88855931
17H04576,CENTRO DE EDUCACIÓN INICIAL PARTICULAR “SENDERITOS DE MIEL”,MATRIZ,PARTICULAR,PICHINCHA,DISTRITO METROPOLITANO DE QUITO,QUITUMBE,-0.304875457,-78.54764311
16B00233,CENTRO EDUCATIVO COMUNITARIO INTERCULTURAL BILINGÜE DE EDUCACIÓN BÁSICA HATUN PLAYA,MATRIZ,FISCAL,PASTAZA,PASTAZA,RÍO TIGRE,-1.666094859,-75.9346588
16H00188,CENTRO EDUCATIVO COMUNITARIO INTERCULTURAL BILINGUE LAGUNA VERDE,MATRIZ,FISCAL,PASTAZA,PASTAZA,SARAYACU,-1.500486575,-77.45642209
15H00097,UNIDAD EDUCATIVA NUMA POMPILLO LLONA,MATRIZ,FISCAL,NAPO,TENA,CHONTAPUNTA,-0.858236271,-77.25550036
15H00394,UNIDAD EDUCATIVA LA CARACOLA,MATRIZ,PARTICULAR,NAPO,TENA,TENA,-0.987686398,-77.81938536
10H00815,"UNIDAD EDUCATIVA PCEI ""LIBERTAD""",MATRIZ,PARTICULAR,IMBABURA,ANTONIO ANTE,SAN FRANCISCO DE NATABUELA,0.340123239,-78.18672396
10H00814,"CENTRO DE EDUCACIÓN INICIAL ""HUELLITAS""",MATRIZ,PARTICULAR,IMBABURA,ANTONIO ANTE,ATUNTAQUI,0.334134455,-78.21174079
10H00816,UNIDAD EDUCATIVA PCEI “ATENEA”,MATRIZ,PARTICULAR,IMBABURA,ANTONIO ANTE,ATUNTAQUI,0.33943389,-78.22752322
17H04566,"UNIDAD EDUCATIVA ""VUELA ALTO""",MATRIZ,PARTICULAR,PICHINCHA,RUMIÑAHUI,SANGOLQUÍ,-0.334107816,-78.44367765
17H04580,CENTRO DE EDUCACIÓN INICIAL PARTICULAR “ENTRE RISAS Y GARABATOS”,MATRIZ,PARTICULAR,PICHINCHA,DISTRITO METROPOLITANO DE QUITO,SAN ANTONIO,0.002711506,-78.45821029
17H04575,UNIDAD EDUCATIVA PARTICULAR “23 DE ABRIL”,MATRIZ,PARTICULAR,PICHINCHA,DISTRITO METROPOLITANO DE QUITO,SAN ISIDRO DEL INCA,-0.144289407,-78.46846403
17H04585,UNIDAD EDUCATIVA PARTICULAR “ISM WEST”,ESTABLECIMIENTO,PARTICULAR,PICHINCHA,DISTRITO METROPOLITANO DE QUITO,CARCELÉN,-0.091487602,-78.47789566
17H04585,UNIDAD EDUCATIVA PARTICULAR “ISM WEST”,MATRIZ,PARTICULAR,PICHINCHA,DISTRITO METROPOLITANO DE QUITO,CARCELÉN,-0.091505764,-78.47909872
17H04578,CENTRO DE EDUCACIÓN INICIAL PARTICULAR “ENVIRONMENT KIDS”,MATRIZ,PARTICULAR,PICHINCHA,DISTRITO METROPOLITANO DE QUITO,RUMIPAMBA,-0.169663003,-78.4893349
17H04568,"UNIDAD EDUCATIVA PARTICULAR “PCEI PADRE JUAN BOTASSO""",MATRIZ,PARTICULAR,PICHINCHA,DISTRITO METROPOLITANO DE QUITO,RUMIPAMBA,-0.179334469,-78.49076114
17H04567,"CENTRO DE EDUCACIÓN INICIAL PARTICULAR “CIELO INFANTIL""",MATRIZ,PARTICULAR,PICHINCHA,DISTRITO METROPOLITANO DE QUITO,CONOCOTO,-0.283504909,-78.49449571
05H00040,"ESCUELA DE EDUCACIÓN BÁSICA ""LIC. JORGE IGNACIO ZUÑIGA CARRILLO”",MATRIZ,FISCAL,COTOPAXI,LATACUNGA,IGNACIO FLORES (PARQUE FLORES) ,-0.967734436,-78.52946035
17H04582,ESCUELA DE EDUCACIÓN BÁSICA PARTICULAR “GRAHAM BELL”,MATRIZ,PARTICULAR,PICHINCHA,DISTRITO METROPOLITANO DE QUITO,TURUBAMBA,-0.327894955,-78.5364953
17H04572,CENTRO DE EDUCACIÓN INICIAL PARTICULAR “ARTEMISIA MONTESSORI”,MATRIZ,PARTICULAR,PICHINCHA,DISTRITO METROPOLITANO DE QUITO,SOLANDA,-0.283659479,-78.54055469
17H04579,CENTRO DE EDUCACIÓN INICIAL PARTICULAR “CAPULETOS Y MONTESCOS KIDS CLUB”,MATRIZ,PARTICULAR,PICHINCHA,DISTRITO METROPOLITANO DE QUITO,QUITUMBE,-0.295139854,-78.54479907
17H04559,CENTRO DE EDUCACIÓN INICIAL PARTICULAR “LOS ZAMARRITOS”,MATRIZ,PARTICULAR,PICHINCHA,DISTRITO METROPOLITANO DE QUITO,TURUBAMBA,-0.311437205,-78.54532513
17H04570,"CENTRO DE EDUCACIÓN INICIAL PARTICULAR ""SAN ALFONSO""",MATRIZ,PARTICULAR,PICHINCHA,DISTRITO METROPOLITANO DE QUITO,TURUBAMBA,-0.328602235,-78.54555449
17H04577,CENTRO DE EDUCACIÓN INICIAL PARTICULAR “PLAYFUL HOUSE”,MATRIZ,PARTICULAR,PICHINCHA,DISTRITO METROPOLITANO DE QUITO,QUITUMBE,-0.299650775,-78.54694395
05H00139,ESCUELA DE EDUCACIÓN BÁSICA “CARLOS EGAS MANRIQUE”,MATRIZ,FISCAL,COTOPAXI,LATACUNGA,BELISARIO QUEVEDO,-0.981152402,-78.54752673
17H04573,UNIDAD EDUCATIVA PARTICULAR “PCEI HIMALAYA”,MATRIZ,PARTICULAR,PICHINCHA,DISTRITO METROPOLITANO DE QUITO,LA MENA,-0.273574539,-78.55267784
17H04571,CENTRO DE EDUCACIÓN INICIAL PARTICULAR “SAN BARTOLOMÉ”,MATRIZ,PARTICULAR,PICHINCHA,DISTRITO METROPOLITANO DE QUITO,LA MENA,-0.271568261,-78.55454579
17H04581,CENTRO DE EDUCACIÓN INICIAL PARTICULAR “BABY MOZART”,MATRIZ,PARTICULAR,PICHINCHA,DISTRITO METROPOLITANO DE QUITO,GUAMANÍ,-0.333639931,-78.5575128
05H00070,ESCUELA DE EDUCACIÓN BÁSICA “JOAQUÍN PÉREZ DE ANDA”,MATRIZ,FISCAL,COTOPAXI,LATACUNGA,SAN BUENAVENTURA,-0.891756932,-78.56067216
05H00207,"ESCUELA DE EDUCACIÓN BÁSICA ""ECUADOR""",MATRIZ,FISCAL,COTOPAXI,LATACUNGA,TANICUCHÍ,-0.797621818,-78.63325958
06H01934,CENTRO DE EDUCACIÓN INICIAL “ALBERT EINSTEIN JUNIOR”,MATRIZ,PARTICULAR,CHIMBORAZO,RIOBAMBA,SAN LUIS,-1.69547666,-78.64536589
06H01935,CENTRO DE EDUCACIÓN INICIAL “HÉROES PRESCHOOL”,MATRIZ,PARTICULAR,CHIMBORAZO,RIOBAMBA,VELASCO,-1.668328241,-78.65295381
01H02066,CENTRO DE EDUCACIÓN INICIAL MI MUNDO DE COLORES,MATRIZ,PARTICULAR,AZUAY,CUENCA,MACHÁNGARA,-2.880871282,-78.96245447
01H02070,CENTRO DE EDUCACIÓN INICIAL EL VALLE,MATRIZ,PARTICULAR,AZUAY,CUENCA,VALLE,-2.92565569,-78.96387599
01H02067,CENTRO DE EDUCACIÓN INICIAL JUKU,MATRIZ,PARTICULAR,AZUAY,CUENCA,YANUNCAY,-2.911634566,-79.01543862
01H02069,CENTRO DE EDUCACIÓN INICIAL MI PRIMER CRAYÓN,MATRIZ,PARTICULAR,AZUAY,CUENCA,EL BATÁN,-2.90001844,-79.02193374
01H02065,CENTRO DE EDUCACIÓN INICIAL BAMBÚ,MATRIZ,PARTICULAR,AZUAY,CUENCA,SAN SEBASTIÁN,-2.892258538,-79.02587705
01H02068,CENTRO DE EDUCACIÓN INICIAL ACUARELA,MATRIZ,PARTICULAR,AZUAY,CUENCA,SAN SEBASTIÁN,-2.880339832,-79.06154502
11H02035,CENTRO DE EDUCACIÓN INICIAL PARTICULAR MY LITTLE FRIENDS,MATRIZ,PARTICULAR,LOJA,LOJA,EL SAGRARIO,-3.997589942,-79.19631084
11H02039,UNIDAD EDUCATIVA PARTICULAR DOMINGO SAVIO,ESTABLECIMIENTO,PARTICULAR,LOJA,LOJA,CARIGÁN,-3.973054431,-79.21897173
12H02624,CENTRO DE EDUCACIÓN INICIAL “APRENDE JUGANDO”,MATRIZ,PARTICULAR,LOS RÍOS,MONTALVO,MONTALVO,-1.782943791,-79.28839184
03H00555,UNIDAD EDUCATIVA LUIS FELIPE BORJA,ESTABLECIMIENTO,FISCAL,GUAYAS,EL TRIUNFO,EL TRIUNFO,-2.394385209,-79.29449069
08H01096,ESCUELA DE EDUCACIÓN BÁSICA ELOY ALFARO,MATRIZ,FISCAL,ESMERALDAS,QUININDÉ,LA UNIÓN,0.082258972,-79.50617485
09H03791,UNIDAD EDUCATIVA 29 DE SEPTIEMBRE,MATRIZ,FISCAL,GUAYAS,EL EMPALME,VELASCO IBARRA,-1.041052782,-79.64781246
09H04912,ESCUELA DE EDUCACION BASICA MANUEL DE ASCAZUBI,MATRIZ,MUNICIPAL,GUAYAS,SALITRE,LA VICTORIA,-1.927045457,-79.72852961
09H06774,ESCUELA DE EDUCACIÓN BÁSICA CIUDAD DE ISRAEL,MATRIZ,PARTICULAR,GUAYAS,DURÁN,ELOY ALFARO,-2.158192234,-79.7869779
09H06788,CENTRO DE EDUCACIÓN INICIAL OLIVOS,MATRIZ,PARTICULAR,GUAYAS,SAMBORONDÓN,LA PUNTILLA (SATÉLITE),-2.072761845,-79.83440367
09H06766,ESCUELA DE EDUCACIÓN BÁSICA ILINIZA SUR,MATRIZ,PARTICULAR,GUAYAS,GUAYAQUIL,XIMENA,-2.255914696,-79.89289687
09H06784,UNIDAD EDUCATIVA GUAYACANES,MATRIZ,PARTICULAR,GUAYAS,GUAYAQUIL,TARQUI,-2.122728202,-79.89800665
07H00389,UNIDAD EDUCATIVA MANUEL MINUCHE TORRES,MATRIZ,FISCAL,EL ORO,MACHALA,EL RETIRO,-3.35003227,-79.89711932
09H06785,UNIDAD EDUCATIVA ALAN TURING,MATRIZ,PARTICULAR,GUAYAS,GUAYAQUIL,TARQUI,-2.115394603,-79.90099034
09H00072,UNIDAD EDUCATIVA “SAN JOSÉ – LA SALLE”,MATRIZ,PARTICULAR,GUAYAS,GUAYAQUIL,TARQUI,-2.133503902,-79.91900223
